address,area,average_price,city,date,direction,elevator,firm_name,height,house_type,huxing_jiegou,image_path,image_url,jianzhuleixing,new,nianxian,region,tihu_bili,total_price,url,zhuangxiu
蜀山南七,126.68,20209,合肥,2019-8,南 北,有,,低楼层 (共11层),6室2厅,复式,,https://vrlab-image.ljcdn.com/release/auto3dhd/076f568f8accbca236090fa99093a892/screenshot/1550718582_20/pc0_tGE9H37z4.jpg.q_70.jpg,板楼,0,70,蜀山,一梯两户,256,https://hf.lianjia.com/ershoufang/103102761632.html,简装
樟木头镇樟木头镇,97.2,20371,东莞,2019-8,东南,有,,高楼层 (共23层),3室2厅,暂无数据,,https://image1.ljcdn.com/441900-inspection/27c10d4c-a47b-4c63-ad47-bb2bb0b471c4.jpg.120x80.jpg,塔楼,0,70,樟木头镇,两梯三户,198,https://dg.lianjia.com/ershoufang/105101646003.html,精装
松山湖松山湖,146.74,23171,东莞,2019-8,东南,有,,高楼层 (共25层),4室2厅,暂无数据,,https://image1.ljcdn.com/441900-inspection/eb67c000-5ec5-40e4-a78f-cafca478a47d.JPG.120x80.jpg,塔楼,0,70,松山湖,两梯四户,340,https://dg.lianjia.com/ershoufang/105101646329.html,精装
庐阳亳州,124.04,11448,合肥,2019-8,南,无,,高楼层 (共6层),3室2厅,复式,,https://vrlab-image.ljcdn.com/release/auto3dhd/07fd19cbe2d1511fd7511ca4ab8f36ea/screenshot/1548133618_10/pc0_rAEJ0WV8m.jpg.q_70.jpg,板楼,0,70,庐阳,一梯两户,142,https://hf.lianjia.com/ershoufang/103102530926.html,简装
蜀山五里墩,97.14,15442,合肥,2019-8,南 北,无,,中楼层 (共6层),2室2厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/c72f84cac4e098b8d0f7ae9f1ab4fc4c/screenshot/1546159753_6/pc0_ShdNOv1vf.jpg.q_70.jpg,板楼,0,70,蜀山,一梯两户,150,https://hf.lianjia.com/ershoufang/103102394289.html,毛坯
包河常青,63.32,15004,合肥,2019-8,西南,有,,中楼层 (共25层),2室1厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/3a842775df7b0253a687a425be1396f6/screenshot/1565667287_3/pc0_lUspn47vM.jpg.q_70.jpg,塔楼,0,70,包河,三梯十二户,95,https://hf.lianjia.com/ershoufang/103105685482.html,简装
花山区解放路,88,3160,马鞍山,2019-8,南,暂无数据,矿内新村,中楼层 (共6层),2室1厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/2ac53fdb-d1a0-49de-a0a3-e5a7f18e0fb5.jpg.120x80.jpg,板楼,0,70,花山区,一梯两户,100,https://mas.lianjia.com/ershoufang/103104068810.html,简装
肥西桃花工业园,86,15117,合肥,2019-8,南 北,无,,高楼层 (共6层),2室2厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/4ea5f7d9656841f53e350770a019ca35/screenshot/1566282844_0/pc0_ypwda0ScI.jpg.q_70.jpg,板楼,0,70,肥西,一梯两户,130,https://hf.lianjia.com/ershoufang/103105712247.html,简装
滨湖新区工业园,92.75,16604,合肥,2019-8,南 北,有,,低楼层 (共33层),3室2厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/b7b139c18789603a9801167479da46b0/screenshot/1547891287_18/pc0_7iqCJTnom.jpg.q_70.jpg,塔楼,0,70,滨湖新区,两梯三户,154,https://hf.lianjia.com/ershoufang/103103643500.html,毛坯
花山区霍里,102.42,4882,马鞍山,2019-8,南,有,丰收佳苑,低楼层 (共24层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/dc3429ed-1da7-4ae2-8902-d8374ba211cf.JPG.120x80.jpg,板楼,0,70,花山区,两梯四户,50,https://mas.lianjia.com/ershoufang/103104067039.html,毛坯
