Area,Average_price,City,Company,Detailed_address,District,Model
建面 238m2,40500,南京,南京临江老城改造建设投资有限公司,宝塔桥西街155号,鼓楼楼盘,4室2厅2卫 
建面 145m2,40500,南京,南京临江老城改造建设投资有限公司,宝塔桥西街155号,鼓楼楼盘,3室2厅2卫 
建面 55m2,34000,南京,金地集团南京置业发展有限公司 ,江东南路与龙王大街交汇处,建邺楼盘,2室2厅2卫 
建面 69m2,34000,南京,金地集团南京置业发展有限公司 ,江东南路与龙王大街交汇处,建邺楼盘,2室2厅2卫 
建面 30m2,34000,南京,金地集团南京置业发展有限公司 ,江东南路与龙王大街交汇处,建邺楼盘,1室2厅1卫 
建面 82m2,15000,南京,句容新河房地产开发有限公司,仙林东路15号,句容楼盘,2室2厅1卫 
建面 90m2,15000,南京,句容新河房地产开发有限公司,仙林东路15号,句容楼盘,3室2厅1卫 
建面 112m2,6688,南京,滁州碧盛房地产开发有限公司,滁阳路碧桂园晚亭印象,南谯区楼盘,3室2厅1卫 
建面 120m2,6688,南京,滁州碧盛房地产开发有限公司,滁阳路碧桂园晚亭印象,南谯区楼盘,3室2厅2卫 
建面 125m2,6688,南京,滁州碧盛房地产开发有限公司,滁阳路碧桂园晚亭印象,南谯区楼盘,3室2厅2卫 
建面 95m2,7800,南京,滁州碧桂园房地产开发有限公司,滁宁大道1998号,南谯区楼盘,3室2厅1卫 
建面 98m2,7800,南京,滁州碧桂园房地产开发有限公司,滁宁大道1998号,南谯区楼盘,3室2厅1卫 
建面 124m2,7800,南京,滁州碧桂园房地产开发有限公司,滁宁大道1998号,南谯区楼盘,4室2厅2卫 
建面 95m2,6800,南京,明发集团（马鞍山）实业有限公司,宁乌公路明发江湾新城,和县楼盘,3室0厅0卫 
建面 125m2,6800,南京,明发集团（马鞍山）实业有限公司,宁乌公路明发江湾新城,和县楼盘,4室2厅2卫 
建面 93m2,9500,南京,来安孔雀城房地产开发有限公司,汊河大桥桥头堡,来安县楼盘,3室2厅1卫 
